model,PE,isolated,k,weighted_MAE,unweighted_MAE,beam_MAE,col_MAE,width_MAE,height_MAE,beam_width_MAE,beam_height_MAE,col_width_MAE,col_height_MAE,pct_within_tol,beam_within_tol,col_within_tol,width_within_tol,height_within_tol,overall_RMSE,beam_RMSE,col_RMSE,overall_R2,width_R2,height_R2,beam_R2,col_R2,baseline_MAE,baseline_beam_MAE,baseline_col_MAE,improve_vs_baseline,cv_MAE,cv_MAE_std,model_dir,status,combo
HGT,hybrid,self_loop,-,5.71,5.816,5.515,6.117,6.869,4.55,6.32,4.71,8.022,4.212,59.1,58.3,60.8,51.6,66.6,8.607,7.835,10.037,0.542,0.455,0.628,0.547,0.358,8.326,8.599,7.753,2.616,,,../results/models/hybrid_self_loop,ok,hybrid_self_loop
HGT,topological,knn,4,5.719,5.834,5.511,6.157,6.995,4.443,6.303,4.718,8.448,3.866,59.6,59.5,59.9,51.0,68.3,8.566,7.769,10.037,0.548,0.455,0.641,0.555,0.385,8.326,8.599,7.753,2.606,,,../results/models/topological_knn,ok,topological_knn
HGT,geometric,self_loop,-,5.739,5.846,5.543,6.148,6.948,4.529,6.4,4.687,8.099,4.197,58.3,57.2,60.5,50.6,66.0,8.593,7.807,10.044,0.545,0.452,0.639,0.551,0.374,8.326,8.599,7.753,2.587,,,../results/models/geometric_self_loop,ok,geometric_self_loop
HGT,geometric,knn,4,5.743,5.84,5.566,6.114,7.048,4.438,6.455,4.676,8.292,3.937,59.1,59.9,57.4,50.0,68.2,8.673,7.887,10.127,0.537,0.439,0.636,0.542,0.372,8.326,8.599,7.753,2.583,,,../results/models/geometric_knn,ok,geometric_knn
HGT,topological,none,-,5.816,5.925,5.618,6.231,6.935,4.696,6.322,4.913,8.222,4.241,58.4,57.7,59.9,53.0,63.8,8.716,7.928,10.174,0.53,0.441,0.62,0.536,0.354,8.326,8.599,7.753,2.51,,,../results/models/topological_none,ok,topological_none
HGT,geometric,none,-,5.845,5.933,5.685,6.181,7.077,4.612,6.528,4.841,8.229,4.133,57.7,56.6,60.0,48.5,66.9,8.75,7.994,10.155,0.527,0.436,0.617,0.528,0.362,8.326,8.599,7.753,2.481,,,../results/models/geometric_none,ok,geometric_none
HGT,hybrid,knn,4,5.849,6.001,5.572,6.431,7.038,4.66,6.378,4.765,8.422,4.439,58.0,58.0,57.9,51.6,64.4,8.695,7.944,10.092,0.532,0.445,0.62,0.535,0.35,8.326,8.599,7.753,2.477,,,../results/models/hybrid_knn,ok,hybrid_knn
HGT,topological,self_loop,-,5.862,5.986,5.635,6.338,7.051,4.672,6.5,4.77,8.209,4.467,57.2,57.0,57.7,51.0,63.4,8.748,8.008,10.126,0.526,0.441,0.611,0.527,0.335,8.326,8.599,7.753,2.464,,,../results/models/topological_self_loop,ok,topological_self_loop
HGT,hybrid,none,-,5.924,5.975,5.833,6.117,7.013,4.835,6.548,5.117,7.989,4.244,59.0,58.5,60.0,54.8,63.2,8.843,8.231,10.007,0.515,0.43,0.6,0.5,0.371,8.326,8.599,7.753,2.401,,,../results/models/hybrid_none,ok,hybrid_none
HAN,topological,none,-,5.512,5.633,5.291,5.975,6.517,4.506,5.817,4.766,7.987,3.962,63.9,64.5,62.4,58.0,69.7,8.529,7.456,10.429,0.552,0.46,0.644,0.588,0.342,8.326,8.599,7.753,2.814,4.635,0.23,../results/han/models/topological_none,ok,topological_none
HAN,topological,self_loop,-,5.566,5.666,5.385,5.947,6.673,4.46,5.973,4.797,8.143,3.751,63.1,63.8,61.6,56.5,69.7,8.484,7.53,10.2,0.555,0.469,0.642,0.58,0.357,8.326,8.599,7.753,2.759,4.619,0.174,../results/han/models/topological_self_loop,ok,topological_self_loop
HAN,geometric,none,-,5.59,5.731,5.334,6.128,6.609,4.571,5.838,4.83,8.229,4.027,61.9,63.0,59.4,56.1,67.6,8.581,7.472,10.537,0.548,0.448,0.648,0.587,0.336,8.326,8.599,7.753,2.735,4.664,0.243,../results/han/models/geometric_none,ok,geometric_none
HAN,geometric,knn,4,5.721,5.849,5.487,6.21,6.861,4.58,6.155,4.819,8.343,4.078,61.0,60.3,62.3,54.4,67.6,8.813,7.807,10.618,0.522,0.421,0.623,0.549,0.319,8.326,8.599,7.753,2.605,4.607,0.188,../results/han/models/geometric_knn,ok,geometric_knn
HAN,geometric,self_loop,-,5.766,5.91,5.505,6.315,6.886,4.647,6.104,4.905,8.525,4.105,61.3,62.7,58.2,55.2,67.3,8.828,7.775,10.707,0.521,0.417,0.625,0.553,0.315,8.326,8.599,7.753,2.56,4.706,0.216,../results/han/models/geometric_self_loop,ok,geometric_self_loop
HAN,hybrid,knn,4,5.868,6.008,5.614,6.403,6.927,4.809,6.248,4.98,8.353,4.452,57.1,57.9,55.6,51.6,62.7,8.678,7.98,9.985,0.531,0.459,0.602,0.529,0.349,8.326,8.599,7.753,2.457,4.622,0.187,../results/han/models/hybrid_knn,ok,hybrid_knn
HAN,hybrid,none,-,5.933,6.046,5.727,6.365,6.973,4.893,6.367,5.087,8.244,4.485,59.1,59.9,57.4,54.9,63.3,8.824,8.107,10.167,0.517,0.434,0.6,0.515,0.338,8.326,8.599,7.753,2.393,4.672,0.193,../results/han/models/hybrid_none,ok,hybrid_none
HAN,topological,knn,4,5.948,6.068,5.731,6.405,7.064,4.833,6.481,4.98,8.286,4.523,57.8,58.6,56.0,52.4,63.2,8.791,8.074,10.131,0.519,0.444,0.593,0.519,0.318,8.326,8.599,7.753,2.377,4.704,0.25,../results/han/models/topological_knn,ok,topological_knn
HAN,hybrid,self_loop,-,6.15,6.237,5.991,6.484,7.067,5.233,6.493,5.488,8.271,4.697,57.0,56.4,58.4,53.8,60.3,9.136,8.294,10.69,0.482,0.392,0.572,0.491,0.282,8.326,8.599,7.753,2.176,4.706,0.182,../results/han/models/hybrid_self_loop,ok,hybrid_self_loop
