sample,HGT,HAN,mean_both,min_both
sample_240,12.686222222222222,13.380777777777777,13.0335,12.686222222222222
sample_151,8.345444444444444,8.231111111111112,8.288277777777779,8.231111111111112
sample_233,7.909222222222222,8.016777777777778,7.962999999999999,7.909222222222222
sample_189,7.444444444444445,7.401666666666666,7.423055555555555,7.401666666666666
sample_208,7.485444444444444,7.293111111111112,7.389277777777778,7.293111111111112
sample_10,6.959,7.202,7.0805,6.959
sample_195,6.614777777777778,6.5617777777777775,6.588277777777778,6.5617777777777775
sample_243,6.748888888888889,6.351555555555556,6.550222222222223,6.351555555555556
sample_73,6.3661111111111115,5.661777777777778,6.013944444444444,5.661777777777778
sample_111,6.016666666666667,5.578666666666667,5.797666666666666,5.578666666666667
sample_182,5.700666666666667,5.657555555555556,5.679111111111111,5.657555555555556
sample_6,5.683222222222223,5.543888888888889,5.613555555555555,5.543888888888889
sample_142,5.452333333333333,5.748777777777778,5.600555555555555,5.452333333333333
sample_235,5.526222222222222,5.422555555555555,5.474388888888889,5.422555555555555
sample_86,5.7956666666666665,5.054222222222222,5.424944444444444,5.054222222222222
sample_92,5.358666666666667,5.411888888888889,5.3852777777777785,5.358666666666667
sample_146,4.991,5.156777777777778,5.073888888888889,4.991
sample_191,4.982555555555556,4.9414444444444445,4.962,4.9414444444444445
sample_203,4.941222222222223,4.622111111111111,4.781666666666666,4.622111111111111
sample_251,4.567,4.8757777777777775,4.721388888888889,4.567
sample_99,4.699999999999999,4.733555555555556,4.716777777777778,4.699999999999999
sample_163,4.528555555555555,4.7396666666666665,4.63411111111111,4.528555555555555
sample_31,4.506888888888889,4.490666666666666,4.498777777777777,4.490666666666666
sample_117,4.810888888888889,4.098,4.454444444444444,4.098
sample_216,4.247888888888889,4.329555555555555,4.288722222222223,4.247888888888889
sample_192,4.072333333333334,4.285,4.1786666666666665,4.072333333333334
sample_39,4.222666666666666,4.052777777777778,4.137722222222222,4.052777777777778
sample_52,4.071999999999999,4.063555555555556,4.067777777777778,4.063555555555556
sample_166,4.348333333333334,3.7009999999999996,4.024666666666667,3.7009999999999996
sample_4,4.039333333333333,3.7608888888888887,3.9001111111111113,3.7608888888888887
sample_215,4.096777777777778,3.508777777777778,3.802777777777778,3.508777777777778
sample_179,3.691666666666667,3.728888888888889,3.710277777777778,3.691666666666667
sample_150,3.2776666666666667,3.842111111111111,3.5598888888888887,3.2776666666666667
sample_42,3.4459999999999997,3.6103333333333336,3.5281666666666665,3.4459999999999997
sample_53,3.2825555555555557,2.7936666666666667,3.038111111111111,2.7936666666666667
sample_118,3.0323333333333333,3.031777777777778,3.032055555555556,3.031777777777778
sample_132,2.781777777777778,2.6626666666666665,2.7222222222222223,2.6626666666666665
sample_178,2.5744444444444445,2.413,2.493722222222222,2.413
sample_63,2.4676666666666667,1.5787777777777778,2.0232222222222225,1.5787777777777778
