sample,node_type,node_idx,true_size,true_b,true_h,pred_b_HGT,pred_h_HGT,pred_b_HAN,pred_h_HAN,resid_HGT,resid_HAN,both_mae,cause
sample_39,beam,2,10.0,10.0,10.0,55.013816833496094,48.19958114624024,52.74288177490234,46.19106674194336,41.606698989868164,39.46697425842285,40.536834716796875,A_label_suspect(impossible-small)
sample_39,beam,3,10.0,10.0,10.0,54.53812789916992,47.74710464477539,52.60059356689453,46.06539916992188,41.142616271972656,39.3329963684082,40.23780632019043,A_label_suspect(impossible-small)
sample_191,beam,84,5.0,5.0,5.0,42.440673828125,32.07958984375,40.929725646972656,29.95391082763672,32.2601318359375,30.441818237304688,31.350975036621094,A_label_suspect(impossible-small)
sample_191,beam,85,5.0,5.0,5.0,42.43565368652344,32.059322357177734,40.4853401184082,29.69635581970215,32.247488021850586,30.090847969055176,31.16916847229004,A_label_suspect(impossible-small)
sample_191,beam,86,5.0,5.0,5.0,42.4233283996582,32.0543212890625,40.28082656860352,29.643707275390625,32.23882484436035,29.962266921997074,31.100544929504395,A_label_suspect(impossible-small)
sample_191,beam,87,5.0,5.0,5.0,42.37176132202149,32.044281005859375,40.13917541503906,29.651180267333984,32.20802116394043,29.895177841186523,31.051600456237793,A_label_suspect(impossible-small)
sample_191,beam,88,5.0,5.0,5.0,42.3119010925293,32.08165740966797,39.91742706298828,29.595970153808597,32.19677925109863,29.756698608398438,30.97673797607422,A_label_suspect(impossible-small)
sample_191,beam,89,5.0,5.0,5.0,38.809120178222656,30.60085678100586,37.16241455078125,34.19012451171875,29.704988479614258,30.67626953125,30.19062900543213,A_label_suspect(impossible-small)
sample_191,beam,90,5.0,5.0,5.0,38.6515998840332,30.53934097290039,36.34315872192383,30.98902702331543,29.595470428466797,28.66609287261963,29.130781173706055,A_label_suspect(impossible-small)
sample_191,beam,91,5.0,5.0,5.0,38.53321075439453,30.53866195678711,36.1050910949707,29.97319602966309,29.53593635559082,28.039143562316895,28.7875394821167,A_label_suspect(impossible-small)
sample_192,beam,11,5.0,5.0,5.0,38.35227966308594,31.276933670043945,36.27603149414063,28.446931838989254,29.81460666656494,27.36148166656494,28.588043212890625,A_label_suspect(impossible-small)
sample_191,beam,92,5.0,5.0,5.0,38.4647216796875,30.514389038085938,35.74149703979492,29.013071060180664,29.48955535888672,27.377284049987793,28.433420181274414,A_label_suspect(impossible-small)
sample_191,beam,93,5.0,5.0,5.0,38.38872528076172,30.546146392822266,35.49287414550781,28.59363555908203,29.467435836791992,27.043254852294922,28.255345344543457,A_label_suspect(impossible-small)
sample_31,beam,84,10.0,10.0,10.0,43.17691040039063,32.12974166870117,42.51351547241211,31.375532150268555,27.653326034545902,26.944523811340332,27.298924446105957,A_label_suspect(impossible-small)
sample_31,beam,81,10.0,10.0,10.0,43.181758880615234,32.13585662841797,42.28070831298828,31.246150970458984,27.6588077545166,26.763429641723633,27.211118698120117,A_label_suspect(impossible-small)
sample_31,beam,83,10.0,10.0,10.0,42.931732177734375,31.96704864501953,42.51295471191406,31.32859230041504,27.449390411376953,26.92077350616455,27.185081481933594,A_label_suspect(impossible-small)
sample_31,beam,82,10.0,10.0,10.0,42.23844528198242,31.4949951171875,42.52177047729492,31.267105102539062,26.86672019958496,26.894437789916992,26.880578994750977,A_label_suspect(impossible-small)
sample_6,beam,156,10.0,10.0,10.0,42.0775032043457,36.02665328979492,38.63507843017578,30.43158721923828,29.052078247070312,24.53333282470703,26.792705535888672,A_label_suspect(impossible-small)
sample_6,beam,154,10.0,10.0,10.0,41.933067321777344,36.65201187133789,38.060791015625,30.154232025146484,29.292539596557617,24.107511520385742,26.70002555847168,A_label_suspect(impossible-small)
