combo,sample,n_nodes,MAE
topological_none,sample_240,657,12.566
topological_none,sample_151,298,8.305
topological_none,sample_233,439,7.762
topological_none,sample_189,292,7.104
topological_none,sample_208,189,6.831
topological_none,sample_10,272,6.769
topological_none,sample_251,355,6.648
topological_none,sample_195,187,6.472
topological_none,sample_243,365,6.157
topological_none,sample_111,176,6.067
topological_none,sample_182,232,5.99
topological_none,sample_142,58,5.889
topological_none,sample_163,29,5.832
topological_none,sample_99,233,5.332
topological_none,sample_92,164,5.269
topological_none,sample_235,181,5.205
topological_none,sample_73,70,5.144
topological_none,sample_86,128,4.782
topological_none,sample_146,141,4.515
topological_none,sample_203,410,4.234
topological_none,sample_216,257,4.189
topological_none,sample_192,149,4.142
topological_none,sample_179,330,3.962
topological_none,sample_52,119,3.804
topological_none,sample_31,152,3.681
topological_none,sample_42,282,3.507
topological_none,sample_4,92,3.366
topological_none,sample_39,285,3.339
topological_none,sample_191,153,3.147
topological_none,sample_150,63,3.087
topological_none,sample_117,158,3.062
topological_none,sample_215,53,3.053
topological_none,sample_6,206,2.978
topological_none,sample_118,604,2.941
topological_none,sample_166,84,2.899
topological_none,sample_132,133,2.852
topological_none,sample_53,71,2.255
topological_none,sample_178,145,1.943
topological_none,sample_63,23,0.357
topological_self_loop,sample_240,657,13.024
topological_self_loop,sample_233,439,8.978
topological_self_loop,sample_151,298,8.008
topological_self_loop,sample_189,292,7.185
topological_self_loop,sample_208,189,7.103
topological_self_loop,sample_195,187,6.434
topological_self_loop,sample_142,58,6.266
topological_self_loop,sample_243,365,6.017
topological_self_loop,sample_73,70,5.954
topological_self_loop,sample_182,232,5.83
topological_self_loop,sample_251,355,5.806
topological_self_loop,sample_92,164,5.598
topological_self_loop,sample_10,272,5.572
topological_self_loop,sample_235,181,5.497
topological_self_loop,sample_111,176,5.238
topological_self_loop,sample_86,128,4.77
topological_self_loop,sample_99,233,4.607
topological_self_loop,sample_146,141,4.467
topological_self_loop,sample_192,149,4.443
topological_self_loop,sample_117,158,4.223
topological_self_loop,sample_166,84,4.199
topological_self_loop,sample_216,257,4.152
topological_self_loop,sample_203,410,4.023
topological_self_loop,sample_53,71,3.825
topological_self_loop,sample_163,29,3.822
topological_self_loop,sample_179,330,3.767
topological_self_loop,sample_150,63,3.609
topological_self_loop,sample_31,152,3.602
topological_self_loop,sample_4,92,3.482
topological_self_loop,sample_52,119,3.475
topological_self_loop,sample_191,153,3.461
topological_self_loop,sample_39,285,3.21
topological_self_loop,sample_42,282,3.187
topological_self_loop,sample_6,206,3.088
topological_self_loop,sample_118,604,2.712
topological_self_loop,sample_178,145,2.54
topological_self_loop,sample_215,53,2.531
topological_self_loop,sample_132,133,2.158
topological_self_loop,sample_63,23,0.652
topological_knn,sample_240,657,13.523
topological_knn,sample_151,298,8.276
topological_knn,sample_150,63,8.134
topological_knn,sample_10,272,8.017
topological_knn,sample_189,292,7.843
topological_knn,sample_208,189,7.689
topological_knn,sample_233,439,7.402
topological_knn,sample_73,70,7.097
topological_knn,sample_195,187,7.034
topological_knn,sample_243,365,6.528
topological_knn,sample_92,164,6.369
topological_knn,sample_111,176,5.928
topological_knn,sample_235,181,5.833
topological_knn,sample_142,58,5.653
topological_knn,sample_182,232,5.358
topological_knn,sample_163,29,5.23
topological_knn,sample_146,141,5.005
topological_knn,sample_166,84,5.004
topological_knn,sample_86,128,4.82
topological_knn,sample_251,355,4.59
topological_knn,sample_203,410,4.409
topological_knn,sample_99,233,4.395
topological_knn,sample_216,257,4.109
topological_knn,sample_117,158,4.042
topological_knn,sample_31,152,4.034
topological_knn,sample_192,149,3.844
topological_knn,sample_215,53,3.76
topological_knn,sample_4,92,3.747
topological_knn,sample_179,330,3.697
topological_knn,sample_42,282,3.608
topological_knn,sample_52,119,3.571
topological_knn,sample_39,285,3.467
topological_knn,sample_191,153,3.456
topological_knn,sample_118,604,3.322
topological_knn,sample_6,206,3.186
topological_knn,sample_178,145,3.045
topological_knn,sample_132,133,2.841
topological_knn,sample_53,71,2.638
topological_knn,sample_63,23,1.475
geometric_none,sample_240,657,15.345
geometric_none,sample_10,272,9.251
geometric_none,sample_151,298,8.382
geometric_none,sample_233,439,8.246
geometric_none,sample_208,189,7.751
geometric_none,sample_189,292,7.369
geometric_none,sample_86,128,7.245
geometric_none,sample_195,187,7.033
geometric_none,sample_243,365,6.772
geometric_none,sample_182,232,6.372
geometric_none,sample_73,70,6.363
geometric_none,sample_235,181,5.926
geometric_none,sample_92,164,5.817
geometric_none,sample_146,141,5.584
geometric_none,sample_142,58,5.33
geometric_none,sample_111,176,5.167
geometric_none,sample_117,158,5.161
geometric_none,sample_99,233,4.865
geometric_none,sample_166,84,4.857
geometric_none,sample_192,149,4.7
geometric_none,sample_251,355,4.688
geometric_none,sample_52,119,4.602
geometric_none,sample_216,257,4.502
geometric_none,sample_4,92,4.462
geometric_none,sample_150,63,4.417
geometric_none,sample_215,53,4.393
geometric_none,sample_31,152,4.164
geometric_none,sample_203,410,4.122
geometric_none,sample_163,29,4.089
geometric_none,sample_42,282,3.947
geometric_none,sample_179,330,3.817
geometric_none,sample_6,206,3.731
geometric_none,sample_39,285,3.651
geometric_none,sample_191,153,3.501
geometric_none,sample_118,604,3.449
geometric_none,sample_53,71,3.254
geometric_none,sample_178,145,3.013
geometric_none,sample_63,23,3.001
geometric_none,sample_132,133,2.198
geometric_self_loop,sample_240,657,16.026
geometric_self_loop,sample_10,272,9.536
geometric_self_loop,sample_151,298,8.541
geometric_self_loop,sample_233,439,8.374
geometric_self_loop,sample_208,189,8.196
geometric_self_loop,sample_189,292,7.642
geometric_self_loop,sample_86,128,7.513
geometric_self_loop,sample_195,187,7.124
geometric_self_loop,sample_150,63,6.655
geometric_self_loop,sample_243,365,6.624
geometric_self_loop,sample_182,232,6.495
geometric_self_loop,sample_73,70,6.369
geometric_self_loop,sample_235,181,6.262
geometric_self_loop,sample_146,141,5.599
geometric_self_loop,sample_142,58,5.279
geometric_self_loop,sample_251,355,5.176
geometric_self_loop,sample_117,158,5.102
geometric_self_loop,sample_163,29,5.095
geometric_self_loop,sample_92,164,5.088
