combo,sample,n_nodes,MAE
topological_none,sample_240,657,13.609
topological_none,sample_233,439,8.287
topological_none,sample_208,189,8.078
topological_none,sample_151,298,8.052
topological_none,sample_10,272,7.624
topological_none,sample_189,292,7.619
topological_none,sample_195,187,7.183
topological_none,sample_243,365,6.758
topological_none,sample_73,70,6.219
topological_none,sample_86,128,5.984
topological_none,sample_182,232,5.905
topological_none,sample_235,181,5.693
topological_none,sample_92,164,5.29
topological_none,sample_142,58,5.261
topological_none,sample_111,176,5.144
topological_none,sample_146,141,4.994
topological_none,sample_163,29,4.934
topological_none,sample_117,158,4.796
topological_none,sample_216,257,4.481
topological_none,sample_251,355,4.472
topological_none,sample_203,410,4.262
topological_none,sample_166,84,4.109
topological_none,sample_31,152,4.026
topological_none,sample_192,149,4.009
topological_none,sample_99,233,3.914
topological_none,sample_215,53,3.906
topological_none,sample_4,92,3.825
topological_none,sample_52,119,3.686
topological_none,sample_179,330,3.565
topological_none,sample_150,63,3.495
topological_none,sample_39,285,3.476
topological_none,sample_6,206,3.444
topological_none,sample_63,23,3.317
topological_none,sample_42,282,3.221
topological_none,sample_191,153,3.127
topological_none,sample_118,604,3.104
topological_none,sample_53,71,2.802
topological_none,sample_132,133,2.671
topological_none,sample_178,145,2.516
topological_self_loop,sample_240,657,12.69
topological_self_loop,sample_151,298,8.298
topological_self_loop,sample_233,439,7.896
topological_self_loop,sample_189,292,7.391
topological_self_loop,sample_10,272,6.756
topological_self_loop,sample_208,189,6.563
topological_self_loop,sample_243,365,6.264
topological_self_loop,sample_195,187,6.146
topological_self_loop,sample_203,410,6.082
topological_self_loop,sample_182,232,5.76
topological_self_loop,sample_235,181,5.536
topological_self_loop,sample_92,164,5.389
topological_self_loop,sample_111,176,5.325
topological_self_loop,sample_73,70,5.133
topological_self_loop,sample_146,141,4.985
topological_self_loop,sample_251,355,4.968
topological_self_loop,sample_99,233,4.837
topological_self_loop,sample_86,128,4.77
topological_self_loop,sample_142,58,4.493
topological_self_loop,sample_117,158,4.319
topological_self_loop,sample_163,29,4.305
topological_self_loop,sample_216,257,4.158
topological_self_loop,sample_31,152,4.102
topological_self_loop,sample_192,149,3.982
topological_self_loop,sample_179,330,3.893
topological_self_loop,sample_4,92,3.692
topological_self_loop,sample_6,206,3.662
topological_self_loop,sample_150,63,3.386
topological_self_loop,sample_42,282,3.363
