combo,sample,n_nodes,MAE
topological_none,sample_240,657,12.885
topological_none,sample_233,439,8.371
topological_none,sample_151,298,8.043
topological_none,sample_208,189,7.334
topological_none,sample_189,292,7.012
topological_none,sample_142,58,6.868
topological_none,sample_195,187,6.364
topological_none,sample_10,272,6.289
topological_none,sample_182,232,5.985
topological_none,sample_243,365,5.525
topological_none,sample_163,29,5.516
topological_none,sample_111,176,5.483
topological_none,sample_92,164,5.359
topological_none,sample_235,181,5.179
topological_none,sample_73,70,4.985
topological_none,sample_6,230,4.96
topological_none,sample_191,163,4.872
topological_none,sample_203,410,4.862
topological_none,sample_99,233,4.836
topological_none,sample_86,128,4.72
topological_none,sample_251,355,4.58
topological_none,sample_146,141,4.212
topological_none,sample_192,150,4.186
topological_none,sample_216,257,4.074
topological_none,sample_31,156,4.051
topological_none,sample_39,292,3.856
topological_none,sample_179,330,3.769
topological_none,sample_42,282,3.693
topological_none,sample_4,92,3.626
topological_none,sample_52,119,3.181
topological_none,sample_166,84,2.944
topological_none,sample_132,133,2.884
topological_none,sample_117,158,2.858
topological_none,sample_118,604,2.704
topological_none,sample_150,63,2.462
topological_none,sample_215,53,2.341
topological_none,sample_53,71,1.711
topological_none,sample_178,145,1.671
topological_none,sample_63,23,0.448
topological_self_loop,sample_240,657,12.37
topological_self_loop,sample_151,298,8.027
topological_self_loop,sample_233,439,7.703
topological_self_loop,sample_189,292,7.529
topological_self_loop,sample_208,189,7.244
topological_self_loop,sample_195,187,6.475
topological_self_loop,sample_92,164,6.437
topological_self_loop,sample_243,365,5.891
topological_self_loop,sample_142,58,5.859
topological_self_loop,sample_182,232,5.674
topological_self_loop,sample_10,272,5.664
topological_self_loop,sample_235,181,5.632
topological_self_loop,sample_111,176,5.586
topological_self_loop,sample_251,355,5.475
topological_self_loop,sample_6,230,5.359
topological_self_loop,sample_73,70,5.223
topological_self_loop,sample_146,141,4.916
topological_self_loop,sample_99,233,4.89
topological_self_loop,sample_86,128,4.819
topological_self_loop,sample_163,29,4.775
topological_self_loop,sample_192,150,4.775
topological_self_loop,sample_191,163,4.746
topological_self_loop,sample_203,410,4.476
topological_self_loop,sample_52,119,4.432
topological_self_loop,sample_216,257,4.233
topological_self_loop,sample_31,156,4.194
topological_self_loop,sample_179,330,3.888
topological_self_loop,sample_39,292,3.868
topological_self_loop,sample_4,92,3.55
topological_self_loop,sample_42,282,3.326
topological_self_loop,sample_117,158,3.245
topological_self_loop,sample_215,53,2.983
topological_self_loop,sample_118,604,2.785
topological_self_loop,sample_166,84,2.783
topological_self_loop,sample_132,133,2.727
topological_self_loop,sample_178,145,2.524
topological_self_loop,sample_53,71,2.143
topological_self_loop,sample_150,63,2.038
topological_self_loop,sample_63,23,0.607
topological_knn,sample_240,657,12.789
topological_knn,sample_10,272,8.671
topological_knn,sample_151,298,8.412
topological_knn,sample_208,189,8.03
topological_knn,sample_233,439,7.963
topological_knn,sample_189,292,7.552
topological_knn,sample_195,187,6.954
topological_knn,sample_73,70,6.931
topological_knn,sample_111,176,6.448
topological_knn,sample_243,365,6.443
topological_knn,sample_182,232,5.836
topological_knn,sample_235,181,5.731
topological_knn,sample_146,141,5.657
topological_knn,sample_6,230,5.601
topological_knn,sample_142,58,5.59
topological_knn,sample_92,164,5.416
topological_knn,sample_117,158,5.281
topological_knn,sample_99,233,5.259
topological_knn,sample_86,128,5.075
topological_knn,sample_191,163,4.986
topological_knn,sample_31,156,4.864
topological_knn,sample_163,29,4.779
topological_knn,sample_251,355,4.66
topological_knn,sample_192,150,4.525
topological_knn,sample_216,257,4.506
topological_knn,sample_215,53,4.403
topological_knn,sample_166,84,4.357
topological_knn,sample_150,63,4.321
topological_knn,sample_203,410,4.321
topological_knn,sample_39,292,4.261
topological_knn,sample_52,119,3.903
topological_knn,sample_4,92,3.802
topological_knn,sample_179,330,3.568
topological_knn,sample_53,71,3.49
topological_knn,sample_42,282,3.474
topological_knn,sample_118,604,3.437
topological_knn,sample_178,145,2.587
topological_knn,sample_63,23,2.353
topological_knn,sample_132,133,2.158
geometric_none,sample_240,657,13.036
geometric_none,sample_151,298,8.285
geometric_none,sample_233,439,8.267
geometric_none,sample_189,292,6.957
geometric_none,sample_10,272,6.948
geometric_none,sample_195,187,6.441
geometric_none,sample_243,365,6.288
geometric_none,sample_208,189,6.276
geometric_none,sample_142,58,6.129
geometric_none,sample_182,232,5.808
geometric_none,sample_6,230,5.406
geometric_none,sample_73,70,5.358
geometric_none,sample_235,181,5.221
geometric_none,sample_146,141,5.202
geometric_none,sample_92,164,5.155
geometric_none,sample_111,176,5.119
geometric_none,sample_86,128,4.908
geometric_none,sample_31,156,4.828
geometric_none,sample_99,233,4.753
geometric_none,sample_191,163,4.727
geometric_none,sample_251,355,4.701
geometric_none,sample_192,150,4.343
geometric_none,sample_203,410,4.3
