combo,sample,n_nodes,MAE
topological_none,sample_240,657,13.007
topological_none,sample_208,189,8.153
topological_none,sample_233,439,8.152
topological_none,sample_151,298,8.074
topological_none,sample_189,292,7.684
topological_none,sample_73,70,7.226
topological_none,sample_10,272,7.149
topological_none,sample_195,187,6.827
topological_none,sample_243,365,6.741
topological_none,sample_111,176,5.875
topological_none,sample_142,58,5.79
topological_none,sample_6,230,5.592
topological_none,sample_235,181,5.578
topological_none,sample_146,141,5.467
topological_none,sample_182,232,5.351
topological_none,sample_163,29,5.31
topological_none,sample_92,164,5.277
topological_none,sample_86,128,5.24
topological_none,sample_215,53,5.17
topological_none,sample_191,163,4.972
topological_none,sample_4,92,4.941
topological_none,sample_99,233,4.814
topological_none,sample_166,84,4.605
topological_none,sample_117,158,4.522
topological_none,sample_203,410,4.511
topological_none,sample_31,156,4.373
topological_none,sample_251,355,4.368
topological_none,sample_39,292,4.093
topological_none,sample_216,257,4.073
topological_none,sample_192,150,4.052
topological_none,sample_53,71,3.965
topological_none,sample_150,63,3.621
topological_none,sample_52,119,3.603
topological_none,sample_179,330,3.572
topological_none,sample_42,282,3.404
topological_none,sample_132,133,3.028
topological_none,sample_118,604,2.777
topological_none,sample_178,145,2.673
topological_none,sample_63,23,2.214
topological_self_loop,sample_240,657,12.909
topological_self_loop,sample_151,298,8.498
topological_self_loop,sample_233,439,7.705
topological_self_loop,sample_189,292,7.639
topological_self_loop,sample_10,272,7.578
topological_self_loop,sample_208,189,7.53
topological_self_loop,sample_243,365,6.994
topological_self_loop,sample_73,70,6.831
topological_self_loop,sample_195,187,6.493
topological_self_loop,sample_86,128,6.363
topological_self_loop,sample_111,176,6.084
topological_self_loop,sample_182,232,5.834
topological_self_loop,sample_6,230,5.697
topological_self_loop,sample_92,164,5.431
topological_self_loop,sample_235,181,5.427
topological_self_loop,sample_146,141,5.346
topological_self_loop,sample_99,233,5.051
topological_self_loop,sample_191,163,5.037
topological_self_loop,sample_142,58,5.035
topological_self_loop,sample_117,158,4.949
topological_self_loop,sample_166,84,4.682
topological_self_loop,sample_163,29,4.639
topological_self_loop,sample_251,355,4.403
topological_self_loop,sample_31,156,4.397
topological_self_loop,sample_203,410,4.297
topological_self_loop,sample_216,257,4.272
topological_self_loop,sample_39,292,4.264
topological_self_loop,sample_150,63,4.165
topological_self_loop,sample_192,150,4.142
topological_self_loop,sample_215,53,4.091
topological_self_loop,sample_4,92,3.958
topological_self_loop,sample_52,119,3.946
topological_self_loop,sample_179,330,3.653
topological_self_loop,sample_42,282,3.524
topological_self_loop,sample_118,604,3.23
topological_self_loop,sample_63,23,3.221
topological_self_loop,sample_53,71,3.153
topological_self_loop,sample_178,145,2.439
topological_self_loop,sample_132,133,2.402
topological_knn,sample_240,657,12.203
topological_knn,sample_233,439,8.269
topological_knn,sample_151,298,8.063
topological_knn,sample_189,292,7.229
topological_knn,sample_208,189,7.224
topological_knn,sample_243,365,6.709
topological_knn,sample_92,164,6.667
topological_knn,sample_142,58,6.557
topological_knn,sample_10,272,6.38
topological_knn,sample_195,187,6.301
topological_knn,sample_111,176,6.043
topological_knn,sample_203,410,5.964
topological_knn,sample_73,70,5.707
topological_knn,sample_182,232,5.558
topological_knn,sample_6,230,5.436
topological_knn,sample_163,29,5.378
topological_knn,sample_191,163,5.037
topological_knn,sample_99,233,5.005
topological_knn,sample_235,181,4.949
topological_knn,sample_86,128,4.797
topological_knn,sample_31,156,4.676
topological_knn,sample_146,141,4.525
topological_knn,sample_251,355,4.383
topological_knn,sample_39,292,4.253
topological_knn,sample_117,158,3.877
topological_knn,sample_216,257,3.832
topological_knn,sample_215,53,3.727
topological_knn,sample_42,282,3.652
